csv,epc,type,rssi
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,min,-67.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,25%,-66.625
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,50%,-66.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,75%,-65.875
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591871,max,-63.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,count,7.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,mean,-62.857142857142854
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,std,1.8419709940325184
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,min,-65.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,25%,-64.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,50%,-63.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,75%,-61.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097591872,max,-60.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661861,count,9.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661861,mean,-62.166666666666664
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661861,std,2.1937410968480306
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661861,min,-68.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661861,25%,-61.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661861,50%,-61.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010145263633097661861,75%,-61.5
