csv,epc,type,rssi
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,count,8.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,mean,-65.5625
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,std,3.539950564626574
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,min,-69.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,25%,-67.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,50%,-67.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,75%,-62.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661863,max,-59.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,count,7.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,mean,-62.785714285714285
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,std,2.6117864712546033
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,min,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,25%,-63.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,50%,-63.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,75%,-61.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661864,max,-59.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,count,2.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,mean,-64.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,std,0.3535533905932738
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,min,-65.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,25%,-64.875
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,50%,-64.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,75%,-64.625
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661865,max,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,count,27.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,mean,-58.851851851851855
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,std,1.4264993112161972
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,min,-60.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,25%,-59.75
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,50%,-59.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,75%,-58.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097661866,max,-55.0
