csv,epc,type,rssi
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354141899,max,-61.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,count,3.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,mean,-66.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,std,2.598076211353316
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,min,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,25%,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,50%,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,75%,-65.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211894,max,-63.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,count,7.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,mean,-68.21428571428571
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,std,0.9940297973880049
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,min,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,25%,-69.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,50%,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,75%,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010449013305354211896,max,-67.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,count,1.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,mean,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,std,
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,min,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,25%,-69.5
